TED_waveform,TED_transcript
4954_AlaindeBotton_2011G,<unk> it at all my view is that museums should take a leaf out of the book of religions and they should make sure that when you walk into a museum if i was a museum curator i would make a room for love a <unk>
4955_AlaindeBotton_2011G,<unk> room for generosity all works of art are talking to us about things and if we were able to arrange spaces where we could come across works where
4956_AlaindeBotton_2011G,<unk> be told use these works of art to cement these ideas in your mind <unk> we would get a lot more out of art art would pick up the duty that it used to have and that we 've neglected because of certain <unk>
4957_AlaindeBotton_2011G,mis founded ideas art should be one of the tools by which we improve our society art should be didactic
4958_AlaindeBotton_2011G,<unk> the people in the modern world in the secular world who are interested in matters of the spirit in matters of the mind in higher
4959_AlaindeBotton_2011G,soul like concerns tend to be isolated individuals <unk> they 're poets they 're philosophers they 're photographers they 're filmmakers and they tend to be on their own <unk> they 're our cottage industries <unk> they are vulnerable single people
4960_AlaindeBotton_2011G,and they get depressed and they get sad on their own
4961_AlaindeBotton_2011G,and they don 't really change much now think about religions think about organized religions what do organized religions do <unk> they group together <unk> they form institutions
4962_AlaindeBotton_2011G,and that has all sorts of advantages first of
4963_AlaindeBotton_2011G,all scale might the catholic church pulled in <unk> ninety seven billion dollars last year according to the wall street journal these are massive machines <unk> they 're collaborative <unk>
4964_AlaindeBotton_2011G,<unk> they 're branded they 're multinational <unk> and they 're highly disciplined these are all very good qualities <unk> we recognize them in
4965_AlaindeBotton_2011G,<unk> relation to corporations
4966_AlaindeBotton_2011G,and corporations are very like religions in many ways except they 're right down at the bottom of the pyramid of needs they 're selling us shoes and cars whereas the people who are selling us the higher stuff the therapists the poets are on their own and they have no power <unk> they have no might
4967_AlaindeBotton_2011G,religions are the foremost example of an institution that is fighting for the things of the mind <unk> now we may not agree with what religions are trying to teach us but we can admire the institutional way in which they 're doing it
4968_AlaindeBotton_2011G,<unk> books written by lone individuals are not going to change anything we need to group together <unk> if you want to change the world you have to group together you have to be collaborative <unk> and that 's what
4969_AlaindeBotton_2011G,religions do they are multinational as i say <unk> they are branded they have a clear identity <unk> so they don 't get lost in a busy world
4970_AlaindeBotton_2011G,that 's something we can learn from
4971_AlaindeBotton_2011G,<unk> i want to conclude really what i want to say is for many of you who are operating in a range of different fields there is something to learn from the example of religion even if you don 't believe any of it <unk>
4972_AlaindeBotton_2011G,if you 're involved in anything that 's communal that involves lots of people getting together <unk> there are things for you in religion if you 're involved say in a travel industry in any way look at pilgrimage look very closely
4973_AlaindeBotton_2011G,<unk> we haven 't begun to scratch the surface of what travel could be because we haven 't looked at what religions do with travel <unk> if you 're in the art world look at the example of what religions are doing with art
4974_AlaindeBotton_2011G,<unk> and if you 're an educator in any way again look at how religions are spreading ideas <unk> you may not agree with the ideas but my goodness they 're highly effective mechanisms for doing so
4975_AlaindeBotton_2011G,<unk> intelligent in many ways that they 're not fit to be abandoned to the religious alone <unk> they 're for all of us <unk> thank you very much
4976_AlaindeBotton_2011G,<unk> yourself in some ways to be ridiculed in some quarters ab you can get shot by both sides you can get shot by the hard headed atheists and you can get shot by those who
4977_AlaindeBotton_2011G,fully believe ca incoming missiles from north oxford at any moment ab indeed
4978_AlaindeBotton_2011G,ca but you left out one
4979_AlaindeBotton_2011G,one aspect of religion that a lot of people might say your agenda could borrow from which is this this sense that 's actually probably the most important thing to anyone who 's religious of
4980_AlaindeBotton_2011G,spiritual experience of some kind of connection with something that 's bigger than you are is there any room for that experience in atheism two point <unk>
4981_AlaindeBotton_2011G,i like many of you meet people who say things like but isn 't there something bigger than us something
4982_AlaindeBotton_2011G,<unk> does that sense of mystery that sense of the dizzying scale of the universe need to be accompanied by a mystical feeling
4983_AlaindeBotton_2011G,science and just observation gives us that feeling without it so i don 't feel the need
4984_AlaindeBotton_2011G,the universe is large and we are tiny without the need for further
4985_AlaindeBotton_2011G,religious superstructure <unk> so one can have so called spiritual moments without belief in the spirit
4986_AlaindeBotton_2011G,<unk> ask a question <unk> how many people here would say that religion is important to
4987_AlaindeBotton_2011G,them is there an an equivalent process by which there 's a sort of bridge between what you 're talking about and what you would you would say to them ab i would say that there are many many gaps in secular life and these can be plugged <unk> it 's not as though
4988_AlaindeBotton_2011G,<unk> as i try to suggest it 's not as though either you have religion
4989_AlaindeBotton_2011G,and then you have to accept all sorts of things or you don 't have religion and then you 're cut off from all these very good things <unk>
4990_AlaindeBotton_2011G,it 's so sad that we constantly say
4991_AlaindeBotton_2011G,i don 't believe so i can 't have community so i 'm cut off from morality <unk> so i can 't go on a pilgrimage one wants to say nonsense why not
